group,macro_f1,rows,unsafe_recall
amh_Ethi,0.7341151986819571,892,0.7663865546218488
ben_Beng,0.7743710061228309,1505,0.7855044074436827
bos_Latn,0.788549567551819,1805,0.807909604519774
bul_Cyrl,0.8117665151238455,1792,0.8369028006589786
ceb_Latn,0.7595481574063554,1067,0.7510094212651414
ces_Latn,0.7029376246980994,891,0.6766169154228856
deu_Latn,0.753402286336418,906,0.7585089141004863
eng_Latn,0.7849613012352851,868,0.7986111111111112
fra_Latn,0.6711795298522987,356,0.6936170212765957
ind_Latn,0.7890465573274885,827,0.7981981981981981
ita_Latn,0.7359850105310857,864,0.7668308702791461
jpn_Jpan,0.2778027241430923,772,0.023715415019762844
nso_Latn,0.7417581659269833,740,0.7764227642276422
nya_Latn,0.7322684348000803,820,0.7476635514018691
pes_Arab,0.7871603830041891,857,0.8315789473684211
srp_Cyrl,0.7521077024939307,624,0.7834549878345499
tam_Taml,0.7355655186038059,839,0.738898756660746
tat_Cyrl,0.7151244537099071,932,0.7507936507936508
tel_Telu,0.6756019990913221,102,0.7702702702702703
yor_Latn,0.7488204391487443,482,0.7822085889570553
zho_Hans,0.2695416446867124,887,0.0017761989342806395
zho_Hant,0.25846495676955034,912,0.00980392156862745
zul_Latn,0.6759709773794281,260,0.7877094972067039
